course,category,institution,type,skills,personality,inclination
Mechanical Systems Engineering,Engineering & Technology,Post secondary,ITE Higher Nitec,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Microelectronics (Equipment),Engineering & Technology,Post secondary,ITE Higher Nitec,"Engineering Skills, Problem Solving, Technical Knowledge",Conscientiousness,Realistic
Microelectronics (Process),Engineering & Technology,Post secondary,ITE Higher Nitec,"Engineering Skills, Problem Solving, Technical Knowledge",Conscientiousness,Realistic
Port Automation Technology,Engineering & Technology,Post secondary,ITE Higher Nitec,"Automation, Programming, Robotics, Systems Integration",Conscientiousness,Realistic
Security Systems Engineering,Engineering & Technology,Post secondary,ITE Higher Nitec,"Cybersecurity, Engineering Design, Mathematical Skills, Problem Solving, Risk Assessment, Technical Analysis, Technical Drawing",Conscientiousness,Realistic
Vertical Transportation,Engineering & Technology,Post secondary,ITE Higher Nitec,"Coordination, Discipline, Physical Fitness, Teamwork",Conscientiousness,Realistic
Applied Food Science,STEM - Science & Mathematics,Post secondary,ITE Higher Nitec,"Algorithm Design, Analytical Thinking, Attention to Detail, Creativity, Culinary Skills, Logical Thinking, Observation, Problem Solving, Programming, Research, Scientific Method, Time Management",Conscientiousness,Investigative
Landscape Management & Design,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Attention to Detail, Business Management, CAD Design, Creativity, Decision Making, Design Thinking, Leadership, Software Proficiency, Spatial Reasoning, Strategic Planning, Technical Drawing, Visual Communication",Openness,Artistic
AI & Data Intelligence (AI),Computing & IT,Post secondary,ITE Higher Nitec,"AI/ML, Critical Thinking, Data Analysis, Data Visualization, Mathematical Modeling, Research, Statistical Analysis",Conscientiousness,Investigative
AI & Data Intelligence (Data Engineering),Engineering & Technology,Post secondary,ITE Higher Nitec,"AI/ML, Critical Thinking, Data Analysis, Data Visualization, Engineering Design, Mathematical Modeling, Mathematical Skills, Problem Solving, Research, Statistical Analysis, Technical Drawing",Conscientiousness,Investigative
Cloud Management & Operations (Cloud Operations),Computing & IT,Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Leadership, Network Management, Strategic Planning, Systems Administration, Technical Support, Troubleshooting",Conscientiousness,Enterprising
Cloud Management & Operations (Infrastructure Support),Computing & IT,Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Leadership, Network Management, Strategic Planning, Systems Administration, Technical Support, Troubleshooting",Conscientiousness,Enterprising
Cyber Security & Forensics,Security & Safety,Post secondary,ITE Higher Nitec,"Cybersecurity, Problem Solving, Risk Assessment, Technical Analysis",Openness,Investigative
Data Centre Infrastructure & Operation,Computing & IT,Post secondary,ITE Higher Nitec,"Critical Thinking, Data Analysis, Data Visualization, Network Management, Statistical Analysis, Systems Administration, Technical Support, Troubleshooting",Conscientiousness,Investigative
Electronics & Computer Engineering (Applied Electronics & AI),Engineering & Technology,Post secondary,ITE Higher Nitec,"AI/ML, Algorithm Design, Data Analysis, Engineering Design, Logical Thinking, Mathematical Modeling, Mathematical Skills, Problem Solving, Programming, Research, Technical Drawing",Conscientiousness,Realistic
IT System Integration,Computing & IT,Post secondary,ITE Higher Nitec,"Network Management, Systems Administration, Technical Support, Troubleshooting",Conscientiousness,Investigative
Electronics Engineering,Engineering & Technology,Post secondary,ITE Higher Nitec,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Data Engineering,Engineering & Technology,Post secondary,ITE Higher Nitec,"Critical Thinking, Data Analysis, Data Visualization, Engineering Design, Mathematical Skills, Problem Solving, Statistical Analysis, Technical Drawing",Conscientiousness,Investigative
Immersive Applications & Game,Computing & IT,Post secondary,ITE Higher Nitec,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Conscientiousness,Investigative
IT Applications Development,Computing & IT,Post secondary,ITE Higher Nitec,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Conscientiousness,Investigative
IT Systems & Networks,Computing & IT,Post secondary,ITE Higher Nitec,"Network Management, Systems Administration, Technical Support, Troubleshooting",Conscientiousness,Investigative
Drone Technology,Computing & IT,Post secondary,ITE Higher Nitec,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Media Communication & Digital Marketing,Computing & IT,Post secondary,ITE Higher Nitec,"Communication, Creative Thinking, Digital Marketing, Marketing, Media Production, Research, Writing",Extraversion,Artistic
Communication Design,"Arts, Design & Visual Arts",Post secondary,ITE Higher Nitec,"Attention to Detail, CAD Design, Communication, Creativity, Design Thinking, Media Production, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication, Writing",Openness,Artistic
Film & Video Production,Media & Communication,Post secondary,ITE Higher Nitec,"Animation, Storytelling, Technical Skills, Video Editing",Openness,Artistic
Interior & Product Design,"Arts, Design & Visual Arts",Post secondary,ITE Higher Nitec,"Client Management, Creativity, Design, Design Thinking, Software Proficiency, Spatial Reasoning, Visual Communication",Openness,Artistic
Technical Theatre & Production,Performing Arts & Music,Post secondary,ITE Higher Nitec,"Acting, Creativity, Performance, Public Speaking",Openness,Artistic
Visual Merchandising,"Arts, Design & Visual Arts",Post secondary,ITE Higher Nitec,"Artistic Expression, Creativity, Innovation",Openness,Artistic
Motion Graphics,"Arts, Design & Visual Arts",Post secondary,ITE Higher Nitec,"Animation, Creativity, Design Thinking, Software Proficiency, Storytelling, Technical Skills, Video Editing, Visual Communication",Openness,Artistic
Fashion Apparel Production,Computing & IT,Post secondary,ITE Higher Nitec,"Algorithm Design, Creativity, Fashion Design, Logical Thinking, Problem Solving, Programming, Technical Skills, Trend Analysis",Openness,Artistic
Community Care Integration & Management,"Business, Finance & Management",Post secondary,ITE Higher Nitec,"Business Management, Decision Making, Leadership, Strategic Planning",Agreeableness,Social
Nursing (in-service),Healthcare & Medical Sciences,Post secondary,ITE Higher Nitec,"Communication, Empathy, Medical Knowledge, Patient Care",Agreeableness,Social
Opticianry,Healthcare & Medical Sciences,Post secondary,ITE Higher Nitec,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Paramedicine,Healthcare & Medical Sciences,Post secondary,ITE Higher Nitec,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Rehabilitation Care,Healthcare & Medical Sciences,Post secondary,ITE Higher Nitec,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Nitec in Business Services,"Business, Finance & Management",Post secondary,ITE Nitec,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Nitec in Hospitality Operations,"Business, Finance & Management",Post secondary,ITE Nitec,"Communication, Customer Service, Organization, Team Management",Extraversion,Social
Nitec in Retail Services,"Business, Finance & Management",Post secondary,ITE Nitec,"AI/ML, Data Analysis, Mathematical Modeling, Research",Extraversion,Enterprising
Nitec in Network Systems & Security,Computing & IT,Post secondary,ITE Nitec,"Cybersecurity, Network Management, Problem Solving, Risk Assessment, Systems Administration, Technical Analysis, Technical Support, Troubleshooting",Conscientiousness,Investigative
Nitec in Electronics,Engineering & Technology,Post secondary,ITE Nitec,"Engineering Skills, Problem Solving, Technical Knowledge",Conscientiousness,Realistic
Nitec in Mechanical Engineering,Engineering & Technology,Post secondary,ITE Nitec,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Nitec in Aerospace Machining & Assembly,Engineering & Technology,Post secondary,ITE Nitec,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Nitec in Culinary Arts,"Arts, Design & Visual Arts",Post secondary,ITE Nitec,"Artistic Expression, Attention to Detail, Creativity, Culinary Skills, Observation, Time Management, Visual Arts",Openness,Artistic
Nitec in Pastry & Baking,"Food, Nutrition & Culinary Arts",Post secondary,ITE Nitec,"Attention to Detail, Creativity, Culinary Skills, Time Management",Openness,Artistic
Nitec in Visual Merchandising,"Arts, Design & Visual Arts",Post secondary,ITE Nitec,"Artistic Expression, Creativity, Innovation",Openness,Artistic
Nitec in Healthcare Services,Healthcare & Medical Sciences,Post secondary,ITE Nitec,"Communication, Empathy, Medical Knowledge, Patient Care",Agreeableness,Social
Work-Study Diploma in Business,"Business, Finance & Management",Post secondary,ITE Work-Study Diploma,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Work-Study Diploma in Engineering,Engineering & Technology,Post secondary,ITE Work-Study Diploma,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Work-Study Diploma in Information Technology,Computing & IT,Post secondary,ITE Work-Study Diploma,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Work-Study Diploma in Design,"Arts, Design & Visual Arts",Post secondary,ITE Work-Study Diploma,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Work-Study Diploma in Healthcare,Healthcare & Medical Sciences,Post secondary,ITE Work-Study Diploma,"Communication, Empathy, Medical Knowledge, Patient Care",Agreeableness,Social
Architecture,Built Environment & Architecture,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Conscientiousness,Investigative
Business Administration,"Business, Finance & Management",Post secondary,University Degree,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Accounting,"Business, Finance & Management",Post secondary,University Degree,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Conscientiousness,Enterprising
Business Analytics,Computing & IT,Post secondary,University Degree,"Business Management, Critical Thinking, Data Analysis, Data Visualization, Decision Making, Leadership, Statistical Analysis, Strategic Planning",Conscientiousness,Investigative
Computer Science,STEM - Science & Mathematics,Post secondary,University Degree,"Algorithm Design, Analytical Thinking, Logical Thinking, Observation, Problem Solving, Programming, Research, Scientific Method",Conscientiousness,Investigative
Information Systems,Computing & IT,Post secondary,University Degree,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
